"tax_year","pin","min_bldg_sf","max_bldg_sf","bldg_sf_ratio","num_sharing_pin"
"2019","18011100070000",770,968,1.2571,2
"2019","13084210470000",1788,2249,1.2578,2
"2019","28023150080000",476,600,1.2605,2
"2019","16364010010000",1559,1968,1.2623,2
"2019","16173170200000",868,1096,1.2627,2
"2019","19181130400000",811,1025,1.2639,2
"2019","19013290170000",792,1002,1.2652,2
"2019","10134150090000",820,1038,1.2659,2
"2019","30184020110000",823,1042,1.2661,2
"2019","32341070080000",1594,2019,1.2666,2
"2019","25184150410000",878,1114,1.2688,2
"2019","14192080090000",792,1005,1.2689,2
"2019","12164100330000",732,929,1.2691,2
"2019","30171080380000",630,800,1.2698,2
"2019","24254080190000",1302,1656,1.2719,2
"2019","29163120170000",1170,1494,1.2769,2
"2019","10201030350000",1038,1328,1.2794,2
"2019","14073110080000",1738,2225,1.2802,2
"2019","11183260030000",4281,5481,1.2803,2
"2019","16023130390000",1212,1554,1.2822,2
"2019","17194170160000",1055,1353,1.2825,2
"2019","11193160190000",1665,2137,1.2835,2
"2019","15333190010000",3270,4198,1.2838,2
"2019","29223020090000",623,800,1.2841,2
"2019","19091300380000",756,971,1.2844,2
"2019","25281250160000",718,924,1.2869,2
"2019","14074210250000",800,1030,1.2875,2
"2019","16293190380000",660,852,1.2909,2
"2019","20184280400000",1100,1420,1.2909,2
"2019","13364300140000",1786,2306,1.2912,2
"2019","20261160360000",576,744,1.2917,2
"2019","29182140360000",588,760,1.2925,2
"2019","17301110330000",600,777,1.295,2
"2019","19143000310000",880,1140,1.2955,2
"2019","14324030250000",1461,1895,1.2971,2
"2019","29042140470000",851,1104,1.2973,2
"2019","01011240390000",810,1051,1.2975,2
"2019","28132030020000",1456,1890,1.2981,2
"2019","26314040260000",616,800,1.2987,2
"2019","16021030020000",1722,2238,1.2997,2
"2019","19181230650000",922,1200,1.3015,2
"2019","30084050030000",1179,1536,1.3028,2
"2019","26062030320000",960,1252,1.3042,2
"2019","21313300180000",998,1302,1.3046,2
"2019","14334060260000",1324,1729,1.3059,2
"2019","17193160230000",680,888,1.3059,2
"2019","30184030390000",640,836,1.3063,2
"2019","30171130160000",756,989,1.3082,2
"2019","26323070150000",625,818,1.3088,2
"2019","13331060090000",1627,2130,1.3092,2
"2019","14292240090000",1220,1600,1.3115,2
"2019","16264170090000",672,882,1.3125,2
"2019","29172070010000",576,756,1.3125,2
"2019","22203190070000",1080,1420,1.3148,2
"2019","32242000010000",400,526,1.315,2
"2019","29093040560000",777,1024,1.3179,2
"2019","14194210270000",1768,2332,1.319,2
"2019","20202170100000",630,832,1.3206,2
"2019","22322000210000",792,1046,1.3207,2
"2019","01353000010000",1260,1667,1.323,2
"2019","20072110430000",1360,1800,1.3235,2
"2019","10242160170000",1584,2104,1.3283,2
"2019","29072150080000",662,880,1.3293,2
"2019","28312010270000",951,1266,1.3312,2
"2019","29174110200000",821,1094,1.3325,2
"2019","18321040220000",1296,1727,1.3326,2
"2019","12121230260000",624,832,1.3333,2
"2019","17061170050000",960,1280,1.3333,2
"2019","13081090080000",660,880,1.3333,2
"2019","14183010210000",792,1056,1.3333,2
"2019","11184210020000",1835,2447,1.3335,2
"2019","13343150150000",884,1179,1.3337,2
"2019","25301240140000",788,1051,1.3338,2
"2019","05271070090000",520,694,1.3346,2
"2019","05204130020000",5210,6974,1.3386,2
"2019","14201020050000",1104,1478,1.3388,2
"2019","17294010410000",697,934,1.34,2
"2019","14183040140000",1373,1840,1.3401,2
"2019","17314270140000",640,858,1.3406,2
"2019","13303200170000",840,1127,1.3417,2
"2019","20082030250000",1377,1848,1.342,2
"2019","15364140240000",924,1240,1.342,2
"2019","25214210170000",812,1090,1.3424,2
"2019","26083210420000",1333,1790,1.3428,2
"2019","05074060190000",700,940,1.3429,2
"2019","05074060200000",700,940,1.3429,2
"2019","25223130030000",688,924,1.343,2
"2019","17194220090000",800,1075,1.3438,2
"2019","20094090060000",684,920,1.345,2
"2019","17072070290000",1176,1584,1.3469,2
"2019","13321220440000",801,1081,1.3496,2
"2019","16064140050000",4721,6373,1.3499,2
"2019","15122020110000",800,1080,1.35,2
"2019","32333260160000",761,1028,1.3509,2
"2019","32281060410000",641,866,1.351,2
"2019","28144310290000",1190,1608,1.3513,2
"2019","17314000110000",592,800,1.3514,2
"2019","20294090110000",848,1146,1.3514,2
"2019","17294110230000",651,880,1.3518,2
"2019","19123110280000",807,1091,1.3519,2
"2019","15033530010000",1056,1428,1.3523,2
"2019","32292050190000",748,1012,1.3529,2
"2019","19244100360000",1244,1683,1.3529,2
"2019","13214170190000",768,1040,1.3542,2
"2019","15033040160000",572,775,1.3549,2
"2019","22322030170000",945,1281,1.3556,2
"2019","06334030310000",1805,2448,1.3562,2
"2019","25313550030000",1364,1850,1.3563,2
"2019","23052010530000",804,1092,1.3582,2
"2019","15042050070000",502,682,1.3586,2
"2019","14304070160000",1254,1704,1.3589,2
"2019","11192090020000",3279,4459,1.3599,2
"2019","14333140460000",1292,1758,1.3607,2
"2019","14072180040000",833,1134,1.3613,2
"2019","30081140060000",748,1020,1.3636,2
"2019","17322060040000",660,900,1.3636,2
"2019","17311130320000",620,846,1.3645,2
"2019","13334160710000",1231,1680,1.3647,2
"2019","14053160070000",1260,1722,1.3667,2
"2019","19093120120000",858,1173,1.3671,2
"2019","17294260030000",1099,1503,1.3676,2
"2019","19084160610000",1507,2065,1.3703,2
"2019","17284130080000",1360,1864,1.3706,2
"2019","17333140010000",932,1278,1.3712,2
"2019","24112090090000",850,1167,1.3729,2
"2019","20203300210000",576,791,1.3733,2
"2019","18132020550000",629,864,1.3736,2
"2019","28122240350000",792,1089,1.375,2
"2019","25023130180000",712,980,1.3764,2
"2019","13332100220000",1000,1380,1.38,2
"2019","29341050060000",400,552,1.38,2
"2019","21304050090000",2604,3598,1.3817,2
"2019","32282190100000",764,1056,1.3822,2
"2019","25283040070000",2180,3020,1.3853,2
"2019","26312100380000",476,660,1.3866,2
"2019","17294120300000",742,1029,1.3868,2
"2019","12244000330000",400,555,1.3875,2
"2019","05354000130000",4185,5822,1.3912,2
"2019","25171000220000",1248,1738,1.3926,2
"2019","17194120200000",1176,1638,1.3929,2
"2019","13321180360000",576,804,1.3958,2
"2019","29033100080000",1258,1756,1.3959,2
"2019","16274160460000",1100,1536,1.3964,2
"2019","17311150160000",630,880,1.3968,2
"2019","15124360080000",1045,1462,1.399,2
"2019","17321100240000",643,900,1.3997,2
"2019","28122140180000",600,840,1.4,2
"2019","20184280310000",938,1315,1.4019,2
"2019","15101000560000",588,825,1.4031,2
"2019","06083000350000",1945,2730,1.4036,2
"2019","10123030210000",1280,1800,1.4063,2
"2019","11183230050000",2272,3199,1.408,2
"2019","13312130150000",576,812,1.4097,2
"2019","20203250180000",1536,2166,1.4102,2
"2019","13243180110000",714,1008,1.4118,2
"2019","16084200280000",1184,1674,1.4139,2
"2019","10114190130000",832,1177,1.4147,2
"2019","30191000350000",599,848,1.4157,2
"2019","13094050350000",640,907,1.4172,2
"2019","20292220070000",1300,1843,1.4177,2
"2019","18221070220000",582,826,1.4192,2
"2019","25223050220000",651,924,1.4194,2
"2019","26053070290000",1028,1460,1.4202,2
"2019","30062080010000",540,767,1.4204,2
"2019","29171080280000",480,682,1.4208,2
"2019","14333290100000",1210,1720,1.4215,2
"2019","12232100140000",524,746,1.4237,2
"2019","14181070100000",1533,2183,1.424,2
"2019","01261030010000",1826,2602,1.425,2
"2019","32281140250000",924,1320,1.4286,2
"2019","25151090100000",644,920,1.4286,2
"2019","26061310240000",763,1091,1.4299,2
"2019","13223100120000",1106,1582,1.4304,2
"2019","28011030470000",520,744,1.4308,2
"2019","24052240430000",872,1248,1.4312,2
"2019","25214150410000",1039,1489,1.4331,2
"2019","14204170050000",1348,1932,1.4332,2
"2019","16122090240000",888,1274,1.4347,2
"2019","14181190040000",897,1287,1.4348,2
"2019","33203010110000",1440,2067,1.4354,2
"2019","22331010110000",1664,2390,1.4363,2
"2019","14333240240000",1608,2310,1.4366,2
"2019","20081230020000",1440,2070,1.4375,2
"2019","29301310180000",520,748,1.4385,2
"2019","13291240110000",654,941,1.4388,2
"2019","17072160300000",560,806,1.4393,2
"2019","25212260250000",528,760,1.4394,2
"2019","25271310080000",572,824,1.4406,2
"2019","09071010740000",720,1038,1.4417,2
"2019","25201130480000",604,871,1.4421,2
"2019","21304130130000",2133,3078,1.443,2
"2019","17314160210000",2758,3981,1.4434,2
"2019","09211050120000",1375,1990,1.4473,2
"2019","05334060050000",804,1165,1.449,2
"2019","12134140110000",576,835,1.4497,2
"2019","29094180230000",593,860,1.4503,2
"2019","10242090280000",792,1153,1.4558,2
"2019","29131020270000",902,1315,1.4579,2
"2019","29183040090000",784,1144,1.4592,2
"2019","17322230030000",575,840,1.4609,2
"2019","25304060230000",720,1052,1.4611,2
"2019","13321220080000",801,1171,1.4619,2
"2019","19301070180000",480,702,1.4625,2
"2019","29181170310000",641,938,1.4633,2
"2019","32282080170000",480,704,1.4667,2
"2019","30173160210000",720,1056,1.4667,2
"2019","28233010420000",804,1180,1.4677,2
"2019","20114200330000",1470,2158,1.468,2
"2019","23274120070000",1277,1876,1.4691,2
"2019","04211000340000",1150,1693,1.4722,2
"2019","20064130380000",748,1102,1.4733,2
"2019","17063310110000",1152,1700,1.4757,2
"2019","16192100070000",760,1122,1.4763,2
"2019","13362160180000",780,1152,1.4769,2
"2019","15133150050000",700,1035,1.4786,2
"2019","29071060120000",800,1184,1.48,2
"2019","12212050440000",500,740,1.48,2
"2019","28122100420000",770,1140,1.4805,2
"2019","13321170320000",972,1440,1.4815,2
"2019","01104010100000",1995,2957,1.4822,2
"2019","15124350020000",682,1011,1.4824,2
"2019","25223160030000",744,1104,1.4839,2
"2019","19123130300000",685,1017,1.4847,2
"2019","28022080030000",940,1396,1.4851,2
"2019","12244190120000",841,1250,1.4863,2
"2019","23352080270000",2013,2992,1.4863,2
"2019","28284090150000",999,1485,1.4865,2
"2019","31314000040000",1338,1990,1.4873,2
"2019","26173230020000",960,1428,1.4875,2
"2019","26173230030000",960,1428,1.4875,2
"2019","12252020160000",721,1073,1.4882,2
"2019","29101040200000",672,1004,1.494,2
"2019","16014180180000",1070,1600,1.4953,2
"2019","21314200250000",698,1044,1.4957,2
"2019","19132230240000",702,1052,1.4986,2
"2019","30083160220000",704,1056,1.5,2
"2019","20294240390000",2400,3600,1.5,2
"2019","12243190320000",540,810,1.5,2
"2019","30083160140000",560,840,1.5,2
"2019","20201120430000",440,660,1.5,2
"2019","17324060020000",840,1260,1.5,2
"2019","17301110520000",700,1050,1.5,2
"2019","25214060310000",532,798,1.5,2
"2019","15352040390000",1092,1640,1.5018,2
"2019","24143170150000",600,902,1.5033,2
"2019","15304000130000",1560,2347,1.5045,2
"2019","18094010550000",552,831,1.5054,2
"2019","12242010590000",1250,1884,1.5072,2
"2019","10244030200000",1152,1739,1.5095,2
"2019","19114090320000",500,755,1.51,2
"2019","20174220230000",1188,1795,1.5109,2
"2019","30172050450000",998,1511,1.514,2
"2019","14311340270000",1710,2591,1.5152,2
"2019","19113270890000",762,1155,1.5157,2
"2019","26323030220000",551,836,1.5172,2
"2019","14203170090000",1872,2841,1.5176,2
"2019","13173040310000",593,903,1.5228,2
"2019","29173200290000",1241,1895,1.527,2
"2019","29323090260000",664,1014,1.5271,2
"2019","02212030170000",1752,2676,1.5274,2
"2019","24363040340000",720,1100,1.5278,2
"2019","28023170010000",700,1074,1.5343,2
"2019","12242180140000",537,824,1.5345,2
"2019","24362080220000",948,1458,1.538,2
"2019","15033020020000",672,1034,1.5387,2
"2019","24252210110000",400,616,1.54,2
"2019","14301010060000",600,924,1.54,2
"2019","24052170170000",727,1120,1.5406,2
"2019","24052170160000",727,1120,1.5406,2
"2019","21313110390000",680,1048,1.5412,2
"2019","16251160480000",1428,2205,1.5441,2
"2019","25041200540000",506,782,1.5455,2
